Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/annotations?V,557,0,120,152.70708855457335,112.88754199631512,3354.89529199549,6975.091561938959,3.103138405903852,0.0,120,120,130,220,230,230,230,340,3400,3400,3400
GET,/distribution (all),207,0,170,223.2211616270864,158.7517079897225,3472.7922919992125,5319.0,1.1532309695190257,0.0,170,180,190,200,230,260,380,1600,3500,3500,3500
GET,/distribution?id,401,0,120,143.47632895522818,112.71850000775885,5064.135291991988,109.4214463840399,2.2340368056866153,0.0,120,120,120,120,130,130,150,340,5100,5100,5100
GET,/healthz,191,0,120,127.0121978275863,111.01158399833366,1450.351708001108,32.0,1.0640923438557195,0.0,120,120,120,120,120,120,130,480,1500,1500,1500
GET,/heart-rate,1137,0,120,138.6903629462224,115.1570410002023,5062.181458008126,1317.7722075637644,6.334413586198707,0.0,120,130,130,130,130,140,190,350,3400,5100,5100
,Aggregated,2493,0,120,148.71596837050726,111.01158399833366,5064.135291991988,2621.1215403128763,13.888912111163918,0.0,120,130,130,130,170,220,260,350,3500,5100,5100
