Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/annotations?V,2888,0,150,203.2040264283728,111.66254099225625,1091.7619579995517,6863.362188365651,16.090092307396727,0.0,150,210,230,250,330,490,690,780,990,1100,1100
GET,/distribution (all),925,0,110,165.65852837300406,106.10004198679235,991.9812919979449,5319.0,5.153509482112871,0.0,110,150,170,190,260,440,560,680,990,990,990
GET,/distribution?id,1881,0,120,177.7659551282388,111.58704099943861,1041.551749993232,109.4635832004253,10.479731173896552,0.0,120,150,180,200,280,470,620,760,1000,1000,1000
GET,/healthz,964,0,120,174.87825479560894,109.34724999242462,883.8650830002734,32.0,5.370792584601954,0.0,120,150,180,200,280,460,620,770,880,880,880
GET,/heart-rate,5546,0,130,190.1680960040096,112.22958299913444,1041.9397500081686,1319.007933645871,30.89877144626809,0.0,130,170,190,210,280,520,730,820,1000,1000,1000
,Aggregated,12204,0,130,188.2759772802021,106.10004198679235,1091.7619579995517,2646.1350376925598,67.9928969942762,0.0,130,170,200,220,300,490,690,800,990,1000,1100
