Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/annotations?V,2933,0,120,145.8675000603083,111.56191700138152,471.27037499740254,6641.72758267985,16.342225842493892,0.0,120,130,140,220,230,230,250,270,460,470,470
GET,/distribution (all),944,0,220,262.90648626595845,158.86612499889452,828.7634579901351,5319.0,5.25982311466561,0.0,220,270,300,330,410,490,670,760,830,830,830
GET,/distribution?id,1895,0,120,125.36064901160805,112.35120799392462,689.8814580054022,109.35197889182058,10.55864915496963,0.0,120,120,130,130,130,140,160,190,440,690,690
GET,/healthz,924,0,120,118.94883467751939,108.46362500160467,359.9981250008568,32.0,5.148386184270152,0.0,120,120,120,120,120,130,140,150,360,360,360
GET,/heart-rate,5880,0,130,135.41487448368522,112.89541600854136,616.3735409936635,1315.3870748299319,32.762457536264606,0.0,130,130,140,140,160,170,210,340,430,620,620
,Aggregated,12576,0,120,144.69781455113272,108.46362500160467,828.7634579901351,2582.1079039440206,70.0715418326639,0.0,120,130,140,150,210,240,350,400,690,820,830
